Zaman,Hiz,Sicaklik,Batarya
13:22:00,53,0,0
13:22:03,53,0,0
13:22:07,53,0,0
13:22:10,53,0,0
13:22:13,53,0,0
13:22:16,53,0,0
13:22:19,53,0,0
